Average Cost for two,Longitude,Latitude
1100,121.027535,14.565443
1200,121.014101,14.553708
4000,121.056831,14.581404
1500,121.056475,14.585318
1500,121.057508,14.58445
1000,121.056314,14.583764
2000,120.9796667,14.53133333
2000,120.9793333,14.54
6000,120.98009,14.55299
1100,121.056532,14.572041
800,121.057916,14.567689
900,121.06082,14.570849
800,121.075419,14.649503
1000,121.0335917,14.59345
700,121.03811,14.59889
800,121.05704,14.237082
850,121.0565874,14.23767897
1200,120.951589,14.101834
600,121.045878,14.55436
1500,121.04622,14.549337
3000,121.053725,14.545858
1800,121.0534998,14.54565535
55,-47.88178889,-15.76414167
30,-47.88266667,-15.7775
45,-47.88213611,-15.75747222
60,-47.88816667,-15.75883333
50,-47.91566667,-15.83116667
80,-47.91566667,-15.831
90,-47.9075,-15.82
200,-47.91016667,-15.82733333
30,-47.89016667,-15.797
150,-47.92366667,-15.83133333
100,-48.019,-15.83716667
60,-48.01909167,-15.839775
100,-48.01666667,-15.83483333
230,-47.889,-15.7865
100,-47.872359,-15.860621
150,-47.95628333,-15.83451389
240,-47.87283333,-15.82566667
230,-47.8685,-15.819
350,-47.885812,-15.720118
50,-47.92102778,-15.79753056
140,-43.377,-23.0115
100,-43.178826,-22.905293
60,-43.18669167,-22.97207222
90,-43.17583333,-22.96216667
170,-43.176,-22.96516667
60,-43.191,-22.98683333
100,-43.227042,-22.973507
90,-43.211425,-22.98520833
120,-43.203,-22.98533333
170,-43.20520833,-22.98531944
90,-43.219563,-22.966647
150,-43.34879167,-22.99991111
250,-43.227,-22.98416667
120,-43.22566667,-22.98516667
40,-43.17279167,-22.963925
250,-43.17126389,-22.96337222
70,-43.341164,-22.870413
300,-43.18736944,-22.92481389
85,-43.21551111,-22.91370833
80,-43.16266667,-22.94783333
250,-46.64516667,-23.55066667
250,-46.64633333,-23.559
70,-46.65866667,-23.55616667
100,-46.657523,-23.55671
300,-46.666851,-23.581688
120,-46.67511,-23.582135
75,-46.683888,-23.585324
55,-46.67566667,-23.581
200,-46.666041,-23.561568
120,-46.657418,-23.571638
300,-46.66983333,-23.5655
230,-46.67133333,-23.59233333
120,-46.68133333,-23.56483333
150,-46.64159444,-23.54664167
400,-46.643425,-23.545163
65,-46.63716667,-23.5995
50,-46.698574,-23.622925
100,-46.581672,-23.486535
